region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
14,12495,2007,6,2679,4,6,4,146706,5,3,3,7,10,2.0
14,6995,2009,6,915,3,4,2,53577,5,3,2,10,10,3.0
14,3300,2002,10,1311,4,6,2,191400,5,3,3,8,9,2.0
14,6250,2005,36,3252,4,4,2,127365,5,3,3,8,0,2.0
14,14900,2012,6,1667,4,6,2,101770,5,3,2,1,10,2.0
14,3700,1999,2,508,4,5,2,131850,5,3,3,2,8,3.0
14,9500,1999,6,1667,4,6,2,157400,5,3,2,1,10,1.0
14,2999,1997,10,1376,3,5,2,100200,5,2,2,7,1,3.0
14,7500,2002,10,1415,3,6,2,128000,5,3,2,10,10,2.0
14,3200,2005,11,3306,3,6,2,214000,5,3,1,8,10,3.0
14,8800,2007,11,3293,3,6,2,175000,5,3,3,8,10,3.0
14,9000,2005,6,2678,3,6,2,171000,5,3,3,10,5,3.0
14,9495,2008,15,1656,4,5,2,89923,5,3,2,4,10,3.0
14,14255,2008,30,109,5,6,2,97205,5,3,2,10,10,3.0
14,6795,2014,9,293,4,3,2,76736,5,3,1,1,0,1.0
14,8795,2013,6,2025,4,3,2,115059,5,3,1,4,10,1.0
14,20495,2017,22,1050,4,3,2,24577,5,3,1,8,10,2.0
14,8795,2010,34,2897,4,3,2,123220,5,3,3,7,10,1.0
14,19795,2016,13,975,4,3,2,33239,5,3,3,8,2,2.0
14,24495,2016,23,1132,4,5,2,25113,5,3,2,4,9,2.0
14,7895,2015,9,293,4,3,2,67804,5,3,1,1,0,1.0
14,5800,1997,6,857,4,6,2,141000,5,3,3,10,10,2.0
14,17395,2012,30,34,4,6,2,85741,5,3,3,7,0,1.0
14,8995,2018,27,3139,4,5,2,48914,5,3,1,4,10,1.0
14,18495,2018,18,2582,4,5,2,43043,5,3,1,8,10,3.0
14,20995,2016,33,2207,4,5,2,35359,5,3,3,8,10,2.0
14,11500,2017,6,2025,4,5,2,30117,5,3,1,4,10,3.0
14,13500,2010,8,812,4,5,2,88892,5,3,2,12,10,3.0
14,4795,2005,13,2185,4,5,2,220287,5,3,1,1,3,2.0
